Date,Date.1,Open,High,Low,Close,Adj Close,Volume
1/29/18,2018,58.824001,59.344501,58.598999,58.778999,58.778999,27578000
1/30/18,2018,58.391499,58.826,58.175999,58.184502,58.184502,31126000
1/31/18,2018,58.5285,58.650002,57.956501,58.497002,58.497002,30774000
2/1/18,2018,58.130501,58.700001,57.875999,58.384998,58.384998,48242000
2/2/18,2018,56.099998,56.1535,55.363899,55.595001,55.595001,97158000
2/5/18,2018,54.529999,55.5,52.601501,52.790001,52.790001,75966000
2/6/18,2018,51.359001,54.085499,51.156849,54.029999,54.029999,68960000
2/7/18,2018,54.077,54.089001,52.412998,52.429001,52.429001,47384000
2/8/18,2018,52.7705,52.931,50.033001,50.076,50.076,57182000
2/9/18,2018,50.862499,52.198502,49.627998,51.889,51.889,70118000
2/12/18,2018,52.400002,53.075001,52.046398,52.597,52.597,41154000
2/13/18,2018,52.25,52.918499,52.20435,52.605,52.605,25302000
2/14/18,2018,52.447498,53.585999,52.337502,53.485001,53.485001,31116000
2/15/18,2018,53.953499,54.573952,53.216999,54.476002,54.476002,36868000
2/16/18,2018,54.420502,55.233501,54.415649,54.740002,54.740002,33590000
2/20/18,2018,54.5285,55.697498,54.425999,55.123001,55.123001,28462000
2/21/18,2018,55.323502,56.698502,55.316502,55.567001,55.567001,30258000
2/22/18,2018,55.809502,56.140999,55.129501,55.331501,55.331501,26344000
2/23/18,2018,55.632,56.363998,55.235699,56.3395,56.3395,25220000
2/26/18,2018,56.389999,57.198002,56.334751,57.1875,57.1875,31182000
2/27/18,2018,57.062,57.202,55.900002,55.914501,55.914501,35482000
2/28/18,2018,56.151501,56.376499,55.161999,55.2365,55.2365,37652000
3/1/18,2018,55.393501,55.506001,53.350052,53.476002,53.476002,50318000
3/2/18,2018,52.653999,54.099949,52.40575,53.945999,53.945999,45432000
3/5/18,2018,53.757,54.855,53.450001,54.546501,54.546501,24044000
3/6/18,2018,54.960999,55.092499,54.48875,54.752998,54.752998,30656000
3/7/18,2018,54.459499,55.611,54.274101,55.481998,55.481998,25850000
3/8/18,2018,55.765999,56.380001,55.639999,56.299999,56.299999,27102000
3/9/18,2018,56.799999,58.040001,56.623051,58.001999,58.001999,42560000
3/12/18,2018,58.192501,58.852501,57.870998,58.224998,58.224998,43446000
3/13/18,2018,58.5,58.838001,56.6665,56.908501,56.908501,38144000
3/14/18,2018,57.260502,57.929501,57.071999,57.474499,57.474499,25828000
3/15/18,2018,57.498001,58.054001,56.727001,57.479,57.479,27908000
3/16/18,2018,57.707001,57.793999,56.598,56.786499,56.786499,61840000
3/19/18,2018,56.0005,56.099499,54.4505,54.991001,54.991001,56118000
3/20/18,2018,54.950001,55.259998,54.173,54.885502,54.885502,36638000
3/21/18,2018,54.637001,55.314999,54.2575,54.543999,54.543999,37578000
3/22/18,2018,54.094002,54.145,52.295502,52.453999,52.453999,53340000
3/23/18,2018,52.351501,53.167999,51.061001,51.078499,51.078499,43134000
3/26/18,2018,52.299999,52.781502,50.419998,52.6605,52.6605,53302000
3/27/18,2018,53.150002,53.241951,49.846001,50.255001,50.255001,61906000
3/28/18,2018,49.900002,51.211498,49.032001,50.228001,50.228001,67386000
3/29/18,2018,50.581501,52.150002,50.145,51.5895,51.5895,54536000
4/2/18,2018,51.140999,51.740002,49.518501,50.323502,50.323502,53608000
